0.3438,0.3297,0.2814,0.2432,0.2398,0.2467,0.2191,0.1774,0.1533,0.1675,0.1985,0.1709,0.1399,0.1534,0.1568,0.1572,0.1986,0.2434,0.2734,0.3055,0.3407,0.5062,0.7321,0.918,1.0942,1.2616,1.4601,1.5768,1.5631,1.5539,1.5857,1.5478,1.4738,1.4371,1.4817,1.5034,1.4227,1.3896,1.3982,1.4272,1.4256,1.4067,1.4023,1.3386,1.3352,1.3909,1.4268,1.4342,1.447,1.4219,1.3567,1.3499,1.3706,1.2934,1.2072,1.1668,1.1914,1.2618,1.2636,1.2164,1.1888,1.2257,1.2333,1.2246,1.2498,1.2477,1.2504,1.2862,1.2948,1.3671,1.4208,1.4,1.3843,1.3594,1.3743,1.3804,1.2738,1.2029,1.1882,1.1939,1.2206,1.1975,1.1529,1.0977,0.9965,0.9665,1.0047,0.9702,0.9188,0.8811,0.7889,0.6357,0.4799,0.4169,0.3955,0.3493
0.3438,0.3297,0.2814,0.2432,0.2398,0.2467,0.2191,0.1774,0.1533,0.1675,0.1985,0.1709,0.1399,0.1534,0.1568,0.1572,0.1986,0.2434,0.2734,0.3055,0.3407,0.5062,0.7321,0.918,1.0942,1.2616,1.4601,1.5768,1.5631,1.5539,1.5857,1.5478,1.4738,1.4371,1.4817,1.5034,1.4227,1.3896,1.3982,1.4272,1.4256,1.4067,1.4023,1.3386,1.3352,1.3909,1.4268,1.4342,1.447,1.4219,1.3567,1.3499,1.3706,1.2934,1.2072,1.1668,1.1914,1.2618,1.2636,1.2164,1.1888,1.2257,1.2333,1.2246,1.2498,1.2477,1.2504,1.2862,1.2948,1.3671,1.4208,1.4,1.3843,1.3594,1.3743,1.3804,1.2738,1.2029,1.1882,1.1939,1.2206,1.1975,1.1529,1.0977,0.9965,0.9665,1.0047,0.9702,0.9188,0.8811,0.7889,0.6357,0.4799,0.4169,0.3955,0.3493
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.3438,0.3297,0.2814,0.2432,0.2398,0.2467,0.2191,0.1774,0.1533,0.1675,0.1985,0.1709,0.1399,0.1534,0.1568,0.1572,0.1986,0.2434,0.2734,0.3055,0.3407,0.5062,0.7321,0.918,1.0942,1.2616,1.4601,1.5768,1.5631,1.5539,1.5857,1.5478,1.4738,1.4371,1.4817,1.5034,1.4227,1.3896,1.3982,1.4272,1.4256,1.4067,1.4023,1.3386,1.3352,1.3909,1.4268,1.4342,1.447,1.4219,1.3567,1.3499,1.3706,1.2934,1.2072,1.1668,1.1914,1.2618,1.2636,1.2164,1.1888,1.2257,1.2333,1.2246,1.2498,1.2477,1.2504,1.2862,1.2948,1.3671,1.4208,1.4,1.3843,1.3594,1.3743,1.3804,1.2738,1.2029,1.1882,1.1939,1.2206,1.1975,1.1529,1.0977,0.9965,0.9665,1.0047,0.9702,0.9188,0.8811,0.7889,0.6357,0.4799,0.4169,0.3955,0.3493
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.3438,0.3297,0.2814,0.2432,0.2398,0.2467,0.2191,0.1774,0.1533,0.1675,0.1985,0.1709,0.1399,0.1534,0.1568,0.1572,0.1986,0.2434,0.2734,0.3055,0.3407,0.5062,0.7321,0.918,1.0942,1.2616,1.4601,1.5768,1.5631,1.5539,1.5857,1.5478,1.4738,1.4371,1.4817,1.5034,1.4227,1.3896,1.3982,1.4272,1.4256,1.4067,1.4023,1.3386,1.3352,1.3909,1.4268,1.4342,1.447,1.4219,1.3567,1.3499,1.3706,1.2934,1.2072,1.1668,1.1914,1.2618,1.2636,1.2164,1.1888,1.2257,1.2333,1.2246,1.2498,1.2477,1.2504,1.2862,1.2948,1.3671,1.4208,1.4,1.3843,1.3594,1.3743,1.3804,1.2738,1.2029,1.1882,1.1939,1.2206,1.1975,1.1529,1.0977,0.9965,0.9665,1.0047,0.9702,0.9188,0.8811,0.7889,0.6357,0.4799,0.4169,0.3955,0.3493
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.3438,0.3297,0.2814,0.2432,0.2398,0.2467,0.2191,0.1774,0.1533,0.1675,0.1985,0.1709,0.1399,0.1534,0.1568,0.1572,0.1986,0.2434,0.2734,0.3055,0.3407,0.5062,0.7321,0.918,1.0942,1.2616,1.4601,1.5768,1.5631,1.5539,1.5857,1.5478,1.4738,1.4371,1.4817,1.5034,1.4227,1.3896,1.3982,1.4272,1.4256,1.4067,1.4023,1.3386,1.3352,1.3909,1.4268,1.4342,1.447,1.4219,1.3567,1.3499,1.3706,1.2934,1.2072,1.1668,1.1914,1.2618,1.2636,1.2164,1.1888,1.2257,1.2333,1.2246,1.2498,1.2477,1.2504,1.2862,1.2948,1.3671,1.4208,1.4,1.3843,1.3594,1.3743,1.3804,1.2738,1.2029,1.1882,1.1939,1.2206,1.1975,1.1529,1.0977,0.9965,0.9665,1.0047,0.9702,0.9188,0.8811,0.7889,0.6357,0.4799,0.4169,0.3955,0.3493
0.3438,0.3297,0.2814,0.2432,0.2398,0.2467,0.2191,0.1774,0.1533,0.1675,0.1985,0.1709,0.1399,0.1534,0.1568,0.1572,0.1986,0.2434,0.2734,0.3055,0.3407,0.5062,0.7321,0.918,1.0942,1.2616,1.4601,1.5768,1.5631,1.5539,1.5857,1.5478,1.4738,1.4371,1.4817,1.5034,1.4227,1.3896,1.3982,1.4272,1.4256,1.4067,1.4023,1.3386,1.3352,1.3909,1.4268,1.4342,1.447,1.4219,1.3567,1.3499,1.3706,1.2934,1.2072,1.1668,1.1914,1.2618,1.2636,1.2164,1.1888,1.2257,1.2333,1.2246,1.2498,1.2477,1.2504,1.2862,1.2948,1.3671,1.4208,1.4,1.3843,1.3594,1.3743,1.3804,1.2738,1.2029,1.1882,1.1939,1.2206,1.1975,1.1529,1.0977,0.9965,0.9665,1.0047,0.9702,0.9188,0.8811,0.7889,0.6357,0.4799,0.4169,0.3955,0.3493
